POLICY_NUM,SURRENDER,POL_TYPE,FR_NUM,NO_NUM,FR_SERV_PERIOD,POLICY_AGE,INSURED_AGE,INSURED_STATE
00194987,N,Estate CompLife,035624    ,008  ,572,102,900,GA
00194988,N,Joint/Survivorship CompLife,015073    ,008  ,107,100,900,GA
00194989,N,Single Premium Life,054071    ,008  ,393,118,898,SC
00194990,N,Level Term 10,099992    ,008  ,#VALUE!,131,897,GA
00194991,N,Level Term 10,035624    ,008  ,533,119,857,GA
00194992,N,Level Term 10,061541    ,008  ,297,120,860,GA
00194993,N,Term 10,074007    ,008  ,219,75,874,GA
00194994,N,Adjustable CompLife,015817    ,008  ,105,78,895,GA
00194995,N,Estate CompLife,061476    ,008  ,334,96,894,GA
00194996,N,Estate CompLife,061476    ,008  ,334,96,894,GA
00194997,N,Adjustable CompLife,005566    ,008  ,133,23,894,GA
00194998,N,Adjustable CompLife,092498    ,008  ,182,61,893,NY
00194999,N,90 Life,036755    ,008  ,558,22,893,GA
00195000,N,Level Term 10,019404    ,008  ,96,151,892,GA
00195001,N,Adjustable CompLife,053360    ,008  ,399,30,892,GA
00195002,N,Level Term 10,035624    ,008  ,572,106,891,GA
00195003,N,Single Premium Life,060652    ,008  ,340,83,891,GA
00195004,N,Adjustable CompLife,035624    ,008  ,572,102,891,FL
00195005,N,Level Term 10,090152    ,008  ,193,157,891,TN
00195006,N,Level Term 20,078410    ,008  ,173,118,845,GA
00195007,N,Adjustable CompLife,078410    ,008  ,218,104,890,GA
00195008,N,10 Pay Life,078410    ,008  ,218,44,890,GA
00195009,Y,Adjustable CompLife,000004    ,008  ,#VALUE!,66,853,OH
00195010,N,Adjustable CompLife,051803    ,008  ,412,104,890,GA
00195011,N,Single Premium Life,051803    ,008  ,412,89,890,GA
00195012,N,Single Premium Life,051803    ,008  ,412,63,890,GA
00195013,N,Adjustable CompLife,051803    ,008  ,412,25,890,GA
00195014,N,Adjustable CompLife,087811    ,008  ,201,49,889,GA
00195015,N,Level Term 10,090152    ,008  ,138,93,833,GA
00195016,N,Level Term 10,099992    ,008  ,#VALUE!,117,888,GA
00195017,N,Term 10,054622    ,008  ,371,96,870,KY
00195018,N,Term 80,054622    ,008  ,389,114,888,KY
00195019,N,Adjustable CompLife,020610    ,008  ,92,38,888,GA
00195020,N,Level Term 10,035624    ,008  ,531,120,847,GA
00195021,N,Term 80,060402    ,008  ,287,50,833,GA
00195022,N,Estate CompLife,057320    ,008  ,368,66,887,TX
00195023,Y,Level Term 10,070163    ,008  ,222,86,846,GA
00195024,Y,Estate CompLife,070163    ,008  ,222,63,846,GA
00195025,Y,Level Term 10,059580    ,008  ,307,118,845,FL
00195026,N,Adjustable CompLife,035624    ,008  ,572,106,886,IL
00195027,N,Level Term 20,036755    ,008  ,558,165,886,GA
00195028,N,Estate CompLife,070289    ,008  ,258,3,882,GA
00195029,Y,Term 10,074007    ,008  ,231,73,875,GA
00195030,N,Adjustable CompLife,053360    ,008  ,399,117,885,GA
00195031,N,Estate CompLife,099992    ,008  ,#VALUE!,110,885,TN
00195032,N,Single Premium Life,070289    ,008  ,261,117,885,TN
00195033,N,Adjustable CompLife,070289    ,008  ,261,99,885,TN
00195034,N,Single Premium Life,051803    ,008  ,412,61,885,GA
00195035,N,Term 10,070163    ,008  ,262,85,885,GA
00195036,N,Adjustable CompLife,005566    ,008  ,133,102,885,GA
00195037,N,Adjustable CompLife,000004    ,008  ,#VALUE!,107,884,GA
00195038,N,Estate CompLife,059107    ,008  ,353,39,884,WI
00195039,N,Extended Term,000004    ,008  ,#VALUE!,57,836,GA
00195040,N,Level Term 10,015073    ,008  ,107,98,884,GA
00195041,N,Adjustable CompLife,092498    ,008  ,182,105,883,GA
00195042,N,Adjustable CompLife,019404    ,008  ,91,100,878,GA
00195043,N,Level Term 20,057320    ,008  ,368,155,883,GA
00195044,N,Adjustable CompLife,061432    ,008  ,334,115,883,GA
00195045,N,Level Term 20,048539    ,008  ,440,154,883,GA
00195046,N,Estate CompLife,048539    ,008  ,440,37,883,GA
00195047,N,Adjustable CompLife,092498    ,008  ,182,23,882,GA
00195048,N,Level Term 20,036755    ,008  ,558,165,882,GA
00195049,N,Estate CompLife,048539    ,008  ,440,102,882,GA
00195050,N,Estate CompLife,048539    ,008  ,440,84,882,GA
00195051,N,Adjustable CompLife,092498    ,008  ,182,35,881,GA
00195052,N,Level Term 20,099992    ,008  ,#VALUE!,158,881,GA
00195053,N,Adjustable CompLife,000004    ,008  ,#VALUE!,74,832,GA
00195054,N,Estate CompLife,090152    ,008  ,193,100,880,GA
00195055,N,Estate CompLife,042132    ,008  ,344,32,880,GA
00195056,N,Adjustable CompLife,049080    ,008  ,435,59,880,GA
00195057,N,Adjustable CompLife,0B5866    ,008  ,70,19,880,GA
00195058,N,Level Term 20,048539    ,008  ,440,159,880,GA
00195059,N,Level Term 10,067815    ,008  ,279,104,880,GA
00195060,N,Single Premium Life,015073    ,008  ,107,109,879,GA
00195061,N,Joint/Survivorship CompLife,015073    ,008  ,107,47,879,GA
00195062,N,Estate CompLife,066227    ,008  ,293,46,879,GA
00195063,Y,Term 10,063120    ,008  ,279,104,837,GA
00195064,N,Level Term 20,048539    ,008  ,403,118,840,GA
00195065,N,Adjustable CompLife,048539    ,008  ,440,36,877,GA
00195066,N,Level Term 10,035624    ,008  ,536,119,841,NC
00195067,N,Level Term 10,036755    ,008  ,520,123,838,AL
00195068,N,Single Premium Life,059580    ,008  ,349,84,876,FL
00195069,Y,Adjustable CompLife,048135    ,008  ,397,66,829,GA
00195070,N,Adjustable CompLife,078410    ,008  ,218,117,876,GA
00195071,N,Adjustable CompLife,078410    ,008  ,218,103,876,GA
00195072,N,Adjustable CompLife,078410    ,008  ,218,93,876,GA
00195073,N,Level Term 10,060906    ,008  ,296,119,834,GA
00195074,N,Term 80,066227    ,008  ,257,91,839,GA
00195075,N,Single Premium Life,092611    ,008  ,182,90,875,GA
00195076,Y,Estate CompLife,051803    ,008  ,381,49,844,GA
00195077,N,Term 80,098402    ,008  ,157,147,874,GA
00195078,N,90 Life,035624    ,008  ,572,116,874,GA
00195079,N,Single Premium Life,099992    ,008  ,#VALUE!,105,874,GA
00195080,N,Level Term 10,060906    ,008  ,281,65,817,NC
00195081,N,Level Term 10,036755    ,008  ,501,109,817,GA
00195082,N,Level Term 10,036755    ,008  ,501,109,817,GA
00195083,N,Adjustable CompLife,051803    ,008  ,412,40,873,GA
00195084,N,Adjustable CompLife,049080    ,008  ,435,103,872,GA
00195085,N,Level Term 20,090933    ,008  ,188,141,872,FL
00195086,N,Adjustable CompLife,090933    ,008  ,188,71,872,FL
00195087,N,Adjustable CompLife,063120    ,008  ,320,76,872,GA
00195088,N,Level Term 20,063583    ,008  ,317,163,872,GA
00195089,N,90 Life,0E1345    ,008  ,36,12,871,GA
00195090,N,Level Term 10,049080    ,008  ,435,111,871,GA
00195091,N,Level Term 10,067102    ,008  ,235,77,820,GA
00195092,N,Level Term 10,035624    ,008  ,535,74,833,GA
00195093,N,Level Term 20,000004    ,008  ,#VALUE!,156,869,GA
00195094,N,Adjustable CompLife,078784    ,008  ,215,53,869,GA
00195095,N,Adjustable CompLife,078784    ,008  ,215,38,869,GA
00195096,N,Level Term 20,044817    ,008  ,471,163,869,GA
00195097,N,Estate CompLife,044817    ,008  ,471,108,869,GA
00195098,N,Estate CompLife,044817    ,008  ,471,101,869,GA
00195099,N,Level Term 20,099992    ,008  ,#VALUE!,133,854,FL
00195100,N,90 Life,099992    ,008  ,#VALUE!,122,869,GA
00195101,N,Joint/Survivorship CompLife,070163    ,008  ,262,88,869,GA
00195102,N,Joint/Survivorship CompLife,070163    ,008  ,262,88,869,GA
00195103,N,Extended Term,099992    ,008  ,#VALUE!,80,844,GA
00195104,N,Joint/Survivorship CompLife,054071    ,008  ,393,100,869,GA
00195105,N,Adjustable CompLife,078784    ,008  ,215,121,868,GA
00195106,N,Estate CompLife,002687    ,008  ,141,98,868,GA
00195107,N,Level Term 20,087643    ,008  ,167,116,834,VA
00195108,N,Adjustable CompLife,087643    ,008  ,202,32,868,VA
00195109,N,Level Term 20,099992    ,008  ,#VALUE!,165,868,GA
00195110,N,Adjustable CompLife,099992    ,008  ,#VALUE!,46,868,GA
00195111,N,Adjustable CompLife,087811    ,008  ,201,117,868,NC
00195112,N,Level Term 10,070163    ,008  ,216,69,821,GA
00195113,N,Estate CompLife,070163    ,008  ,262,44,868,GA
00195114,N,Adjustable CompLife,061541    ,008  ,333,86,868,GA
00195115,N,90 Life,091959    ,008  ,185,108,867,FL
00195116,N,90 Life,091959    ,008  ,185,105,867,FL
00195117,N,90 Life,091959    ,008  ,185,108,867,FL
00195118,N,Adjustable CompLife,015177    ,008  ,107,23,867,GA
00195119,N,Level Term 20,091959    ,008  ,166,124,849,GA
00195120,N,Level Term 20,099992    ,008  ,#VALUE!,140,867,GA
00195121,N,Level Term 10,099992    ,008  ,#VALUE!,94,867,GA
00195122,Y,Estate CompLife,067815    ,008  ,277,116,865,GA
00195123,N,Adjustable CompLife,099992    ,008  ,#VALUE!,108,867,GA
00195124,N,Adjustable CompLife,035624    ,008  ,572,82,867,TN
00195125,N,Estate CompLife,048135    ,008  ,444,58,867,GA
00195126,Y,Level Term 10,061432    ,008  ,320,82,853,GA
00195127,N,Adjustable CompLife,090933    ,008  ,188,92,866,GA
00195128,N,Adjustable CompLife,036755    ,008  ,558,120,866,GA
00195129,N,Adjustable CompLife,0E2912    ,008  ,31,20,866,GA
00195130,N,Adjustable CompLife,035624    ,008  ,572,104,866,FL
00195131,N,Adjustable CompLife,061541    ,008  ,333,86,866,GA
00195132,Y,Estate CompLife,061476    ,008  ,310,96,842,GA
00195133,N,Adjustable CompLife,035624    ,008  ,572,74,866,GA
00195134,N,Adjustable CompLife,036755    ,008  ,558,299,865,GA
00195135,N,Level Term 10,036755    ,008  ,558,96,865,GA
00195136,N,Level Term 20,092611    ,008  ,182,158,865,GA
00195137,N,Estate CompLife,092611    ,008  ,182,62,865,GA
00195138,N,90 Life,002341    ,008  ,142,117,865,CO
00195139,N,Level Term 20,036755    ,008  ,513,120,821,GA
00195140,N,Adjustable CompLife,036755    ,008  ,558,44,865,GA
00195141,N,Level Term 20,045053    ,008  ,470,144,865,GA
00195142,N,Level Term 10,048135    ,008  ,424,72,846,GA
00195143,N,Term 10,099992    ,008  ,#VALUE!,14,809,GA
00195144,N,Adjustable CompLife,057320    ,008  ,368,105,865,GA
00195145,N,Estate CompLife,067815    ,008  ,279,95,864,GA
00195146,N,Adjustable CompLife,061476    ,008  ,334,97,864,GA
00195147,Y,Level Term 10,048135    ,008  ,438,100,858,GA
00195148,N,Adjustable CompLife,091959    ,008  ,185,114,864,GA
00195149,N,Adjustable CompLife,0E1024    ,008  ,37,22,864,GA
00195150,Y,Adjustable CompLife,091959    ,008  ,132,7,811,GA
00195151,N,Adjustable CompLife,035624    ,008  ,572,77,864,GA
00195152,N,Level Term 10,063583    ,008  ,311,118,858,GA
00195153,Y,90 Life,063583    ,008  ,278,85,825,GA
00195154,N,Estate CompLife,048135    ,008  ,444,97,864,GA
00195155,N,Estate CompLife,099992    ,008  ,#VALUE!,91,864,GA
00195156,N,Level Term 20,063120    ,008  ,320,160,863,KY
00195157,N,Level Term 20,063120    ,008  ,320,160,863,KY
00195158,N,Level Term 20,048539    ,008  ,440,166,863,MS
00195159,N,Estate CompLife,048539    ,008  ,440,77,863,GA
00195160,N,90 Life,060402    ,008  ,342,102,863,GA
00195161,Y,Level Term 10,074007    ,008  ,189,60,810,VA
00195162,N,Single Premium Life,066345    ,008  ,292,80,863,GA
00195163,N,Level Term 20,049080    ,008  ,435,148,862,NC
00195164,N,Adjustable CompLife,049080    ,008  ,435,108,862,NC
00195165,N,Adjustable CompLife,049080    ,008  ,435,76,862,NC
00195166,N,Estate CompLife,070163    ,008  ,262,56,862,GA
00195167,N,Adjustable CompLife,092498    ,008  ,182,34,862,GA
00195168,N,Adjustable CompLife,049080    ,008  ,435,107,862,GA
00195169,N,Level Term 20,048539    ,008  ,439,146,861,GA
00195170,N,Adjustable CompLife,053360    ,008  ,399,80,861,GA
00195171,N,Estate CompLife,076740    ,008  ,226,15,861,GA
00195172,N,Level Term 20,035624    ,008  ,572,139,861,GA
00195173,N,Level Term 10,099992    ,008  ,#VALUE!,127,861,GA
00195174,N,90 Life,077044    ,008  ,224,87,861,SC
00195175,Y,Adjustable CompLife,099992    ,008  ,#VALUE!,48,819,SC
00195176,N,Level Term 20,049080    ,008  ,435,166,860,GA
00195177,N,Adjustable CompLife,013763    ,008  ,112,114,860,GA
00195178,N,Estate CompLife,051803    ,008  ,412,95,860,GA
00195179,N,Estate CompLife,051803    ,008  ,412,95,860,GA
00195180,N,Term 10,074007    ,008  ,241,49,860,GA
00195181,N,Level Term 10,048135    ,008  ,418,78,834,GA
00195182,N,Estate CompLife,048135    ,008  ,444,64,860,GA
00195183,N,Adjustable CompLife,048135    ,008  ,444,26,860,GA
00195184,N,Adjustable CompLife,099992    ,008  ,#VALUE!,103,859,GA
00195185,N,Estate CompLife,042132    ,008  ,344,108,859,GA
00195186,N,Level Term 10,049080    ,008  ,394,120,818,GA
00195187,N,Level Term 10,061541    ,008  ,292,122,818,GA
00195188,N,Level Term 20,045053    ,008  ,470,156,859,GA
00195189,N,Adjustable CompLife,048539    ,008  ,440,81,859,GA
00195190,N,Level Term 10,099992    ,008  ,#VALUE!,68,858,GA
00195191,N,Level Term 10,057320    ,008  ,343,119,834,CA
00195192,N,Adjustable CompLife,057320    ,008  ,368,24,858,CA
00195193,N,Level Term 20,061541    ,008  ,333,160,858,GA
00195194,N,Adjustable CompLife,077044    ,008  ,224,72,858,GA
00195195,N,Level Term 10,049080    ,008  ,394,120,816,GA
00195196,N,Adjustable CompLife,051803    ,008  ,412,64,857,TN
00195197,Y,Estate CompLife,051803    ,008  ,373,15,818,FL
00195198,N,Joint/Survivorship CompLife,054071    ,008  ,364,1,827,GA
00195199,N,Level Term 20,061476    ,008  ,334,133,857,GA
00195200,N,Term 80,061476    ,008  ,320,119,843,GA
00195201,N,Adjustable CompLife,061476    ,008  ,334,71,857,GA
00195202,N,Level Term 10,048555    ,008  ,428,118,845,GA
00195203,N,Adjustable CompLife,048555    ,008  ,439,11,856,GA
00195204,N,Adjustable CompLife,066345    ,008  ,292,47,856,GA
00195205,N,Adjustable CompLife,078410    ,008  ,218,82,855,GA
00195206,N,Level Term 20,036755    ,008  ,558,141,855,GA
00195207,N,Adjustable CompLife,053360    ,008  ,399,117,855,GA
00195208,Y,90 Life,099992    ,008  ,#VALUE!,93,838,GA
00195209,N,Level Term 10,054622    ,008  ,389,110,855,GA
00195210,N,Estate CompLife,054622    ,008  ,389,95,855,GA
00195211,N,Level Term 10,078503    ,008  ,217,78,855,GA
00195212,N,Level Term 10,099992    ,008  ,#VALUE!,94,854,GA
00195213,N,Estate CompLife,092498    ,008  ,182,74,854,CA
00195214,N,Term 80,035624    ,008  ,432,18,714,GA
00195215,N,Level Term 10,087811    ,008  ,189,96,841,GA
00195216,N,Level Term 20,002687    ,008  ,141,137,854,GA
00195217,N,Adjustable CompLife,015177    ,008  ,107,12,854,GA
00195218,N,Level Term 20,060402    ,008  ,309,117,822,TN
00195219,N,Adjustable CompLife,060402    ,008  ,342,31,854,TN
00195220,N,Adjustable CompLife,061476    ,008  ,334,98,854,GA
00195221,Y,Level Term 10,074007    ,008  ,188,48,800,VA
00195222,N,Adjustable CompLife,061476    ,008  ,334,113,853,GA
00195223,N,Adjustable CompLife,048555    ,008  ,439,71,853,GA
00195224,N,Level Term 10,070289    ,008  ,261,96,853,GA
00195225,N,Estate CompLife,060402    ,008  ,342,115,853,GA
00195226,N,Adjustable CompLife,048135    ,008  ,444,70,853,GA
00195227,N,Level Term 20,060906    ,008  ,338,152,853,GA
00195228,N,Adjustable CompLife,054071    ,008  ,393,89,853,GA
00195229,N,Adjustable CompLife,091608    ,008  ,185,95,853,GA
00195230,N,Joint/Survivorship CompLife,063120    ,008  ,320,68,853,GA
00195231,N,Level Term 20,060402    ,008  ,309,119,820,TN
00195232,N,Level Term 10,005566    ,008  ,133,78,852,GA
00195233,N,Adjustable CompLife,060402    ,008  ,342,32,852,TN
00195234,N,Level Term 20,049080    ,008  ,435,159,852,GA
00195235,Y,Level Term 10,078410    ,008  ,173,90,807,GA
00195236,N,90 Life,035624    ,008  ,572,121,852,VA
00195237,N,Estate CompLife,063583    ,008  ,317,116,852,GA
00195238,Y,Level Term 10,068729    ,008  ,251,122,831,GA
00195239,N,90 Life,063120    ,008  ,320,5,851,GA
00195240,Y,Estate CompLife,048135    ,008  ,397,48,804,GA
00195241,N,Term 10,044817    ,008  ,428,45,808,GA
00195242,N,Level Term 20,048135    ,008  ,435,123,842,PA
00195243,N,Estate CompLife,048135    ,008  ,444,64,851,GA
00195244,N,Adjustable CompLife,076740    ,008  ,226,68,851,GA
00195245,N,90 Life,000004    ,008  ,#VALUE!,123,851,FL
00195246,N,Level Term 10,078784    ,008  ,204,106,839,GA
00195247,N,Adjustable CompLife,015801    ,008  ,105,72,850,SC
00195248,N,Adjustable CompLife,049080    ,008  ,435,75,850,GA
00195249,N,Adjustable CompLife,049080    ,008  ,435,75,850,NC
00195250,N,Adjustable CompLife,016303    ,008  ,62,#NUM!,810,FL
00195251,Y,Joint/Survivorship CompLife,063120    ,008  ,317,101,847,GA
00195252,N,Level Term 10,090152    ,008  ,193,95,850,GA
00195253,N,Level Term 10,061476    ,008  ,315,119,832,GA
00195254,N,Adjustable CompLife,061476    ,008  ,334,19,850,GA
00195255,N,Level Term 10,099992    ,008  ,#VALUE!,156,850,GA
00195256,N,90 Life,066227    ,008  ,293,79,850,GA
00195257,N,Level Term 20,048135    ,008  ,444,152,850,GA
00195258,Y,Level Term 10,000004    ,008  ,#VALUE!,122,828,GA
00195259,N,Adjustable CompLife,035624    ,008  ,572,100,849,NY
00195260,N,Adjustable CompLife,092498    ,008  ,182,39,849,GA
00195261,Y,Level Term 10,059580    ,008  ,315,74,815,GA
00195262,N,Level Term 10,059580    ,008  ,315,75,816,GA
00195263,N,90 Life,074007    ,008  ,241,106,849,NC
00195264,N,90 Life,074007    ,008  ,241,98,849,NC
00195265,N,Estate CompLife,061476    ,008  ,334,124,849,GA
00195266,N,Term 10,048135    ,008  ,444,14,849,GA
00195267,N,Joint/Survivorship CompLife,078410    ,008  ,218,119,848,GA
00195268,N,Estate CompLife,078410    ,008  ,218,41,848,GA
00195269,N,Level Term 20,070163    ,008  ,262,128,848,GA
00195270,Y,Adjustable CompLife,049080    ,008  ,402,42,815,GA
00195271,N,Level Term 10,060906    ,008  ,311,36,822,GA
00195272,N,Adjustable CompLife,060906    ,008  ,338,26,848,GA
00195273,N,Level Term 10,035624    ,008  ,572,153,848,GA
00195274,N,Adjustable CompLife,035624    ,008  ,572,98,848,GA
00195275,N,Adjustable CompLife,015177    ,008  ,107,4,848,GA
00195276,N,Level Term 20,099992    ,008  ,#VALUE!,120,848,GA
00195277,N,90 Life,054622    ,008  ,389,83,848,AL
00195278,N,Level Term 10,059580    ,008  ,349,84,848,FL
00195279,N,Level Term 20,035624    ,008  ,572,132,848,OR
00195280,N,Adjustable CompLife,000004    ,008  ,#VALUE!,123,848,GA
00195281,N,Adjustable CompLife,051803    ,008  ,412,84,847,TX
00195282,N,Term 10,049080    ,008  ,393,120,805,TN
00195283,N,Level Term 20,091959    ,008  ,185,144,847,ID
00195284,N,Adjustable CompLife,099992    ,008  ,#VALUE!,75,847,FL
00195285,N,Level Term 20,099992    ,008  ,#VALUE!,126,847,GA
00195286,N,Level Term 20,048539    ,008  ,427,135,834,GA
00195287,Y,Estate CompLife,063583    ,008  ,265,55,795,GA
00195288,N,Level Term 10,063583    ,008  ,287,38,817,GA
00195289,Y,10 Pay Life,063583    ,008  ,299,28,829,GA
00195290,N,Adjustable CompLife,087811    ,008  ,201,120,846,NY
00195291,N,Adjustable CompLife,015801    ,008  ,105,68,846,SC
00195292,N,Level Term 10,078503    ,008  ,217,112,846,AL
00195293,N,Level Term 20,057320    ,008  ,368,155,846,GA
00195294,N,Level Term 20,061476    ,008  ,334,155,845,GA
00195295,N,Level Term 20,070289    ,008  ,261,131,845,FL
00195296,N,Adjustable CompLife,070752    ,008  ,259,13,845,GA
00195297,N,Level Term 20,054622    ,008  ,389,159,845,SC
00195298,N,Adjustable CompLife,078784    ,008  ,215,16,845,GA
